s2_id,S2_Title,S2_Citations,S2_NonSelfCitations
ARXIV:2501.13163,Spectro-temporal Investigation of Quasi-periodic Oscillations From Black Hole X-ray Binary 4U 1630-472 Using NICER,0,0
ARXIV:2501.13160,COOL Research DAO Whitepaper -- Towards community-owned astrophysics for everyone,0,0
ARXIV:2501.13159,The Environmental Quenching Mechanisms of Field Dwarf Galaxies,6,6
ARXIV:2501.13157,Time-dependent Radiation Transport Simulations of Infrared Echoes from Dust-shrouded Luminous Transients,1,1
ARXIV:2501.13154,Implications of Magnetic Flux-Disk Mass Correlation in Black Hole-Neutron Star Mergers for GRB sub-populations,0,0
ARXIV:2501.13152,The Hubble Space Telescope Survey of M31 Satellite Galaxies. IV. Survey Overview and Lifetime Star Formation Histories,6,6
ARXIV:2501.13259,The neutrino luminosity and energy spectrum of nova outburst,0,0
ARXIV:2501.13715,The vertical shear instability in protoplanetary discs as an outwardly travelling wave. I. Linear theory,2,2
ARXIV:2501.13266,The BVRcIc sky brightness of the Caucasian Mountain Observatory of MSU,0,0
ARXIV:2501.13294,Unstable accretion in TW Hya: 3D simulations and comparisons with observations,2,2
ARXIV:2501.13691,On the gauge invariance of secondary gravitational waves,5,5
ARXIV:2501.13673,Estimating the Poynting Flux of Alfvénic Waves in Polar Coronal Holes across Solar Cycle 24,2,2
ARXIV:2501.13663,"Thermodynamics and collisionality in firehose-susceptible high- 
$\beta$
 plasmas",1,1
ARXIV:2501.13662,A Fast and Accurate Implementation of the Effective Fluid Approximation for Ultralight Axions,0,0
ARXIV:2501.13661,Discovery of the Richest Pulsating Ultramassive White Dwarf,4,4
ARXIV:2501.13656,A search for close binary systems in the SALT survey of hydrogen-deficient stars using TESS,0,0
ARXIV:2501.13621,The bright long-lived Type II SN 2021irp powered by aspherical circumstellar material interaction. II. Estimating the CSM mass and geometry with polarimetry and light curve modeling.,2,2
ARXIV:2501.13619,The bright long-lived Type II SN 2021irp powered by aspherical circumstellar material interaction. I. Revealing the energy source with photometry and spectroscopy.,1,1
ARXIV:2501.13601,Forecasted Detection Limits on the (Dark) Matter Density in Supermassive Black Hole Binaries for LISA,1,1
ARXIV:2501.13586,Alpha-element abundance patterns in star-forming regions of the Local Universe,1,1
ARXIV:2501.13575,Transit-timing variations in the AU Mic system observed with CHEOPS,1,1
ARXIV:2501.13523,What Is Inside the Double-Double Structure of the Radio Galaxy J0028+0035?,0,0
ARXIV:2501.13505,GRB 221009A and the Apparently Most Energetic Gamma-Ray Bursts,2,2
ARXIV:2501.13466,Detection of Intermediate-mass Ratio Inspirals in Globular Clusters: Revealing the Brownian Motion with Gravitational Waves,1,1
ARXIV:2501.13458,Modelling the energy dependent X-ray variability of Mrk 335,0,0
ARXIV:2501.13317,Simulations of the accreted stellar halos of low-mass field galaxies,3,3
ARXIV:2501.13314,One-dimensional Linear Analysis and Numerical Simulations of Alfvén Waves in a Force-free Magnetosphere around a Kerr Black Hole,2,2
ARXIV:2501.13286,Systematic opacity calculations for kilonovae – II. Improved atomic data for singly ionized lanthanides,4,4
ARXIV:2501.14247,A flaring radio counterpart to a fast radio burst reveals a newborn magnetized engine,0,0
ARXIV:2501.12008,The mass-dependent UVJ diagram at cosmic noon. A challenge for galaxy evolution models and dust radiative transfer,2,2
ARXIV:2501.11997,Deep Photometric and Astrometric Investigation of the Non-relaxed Star Cluster Stock 3 Using Gaia DR3,0,0
ARXIV:2501.10246,High flow speeds and transition-region-like temperatures in the solar chromosphere during flux emergence. Evidence from imaging spectropolarimetry in and numerical simulations,3,3
ARXIV:2501.10244,DeepSSM: an emulator of gravitational wave spectra from sound waves during cosmological first-order phase transitions,1,1
ARXIV:2501.10213,The promise of deep-stacking for neutrino astronomy,1,1
ARXIV:2501.10121,Discovery of Jet–Bubble–Disk Interaction: Jet Feedback on a Protoplanetary Disk Via an Expanding Bubble in WSB 52,0,0
ARXIV:2501.10108,Thermal conduction and thermal-driven winds in magnetized viscous accretion disk dynamics,2,2
ARXIV:2501.10095,Variabilities driven by satellite black hole migration in AGN disks,0,0
ARXIV:2501.10092,Disk in the Circumstellar Envelope of Carbon Mira V Cygni,2,2
ARXIV:2501.10079,ELLIPSECT: A surface brightness analysis tool for GALFIT 3,0,0
ARXIV:2501.10070,JWST Imaging of the Closest Globular Clusters -- V. The White Dwarfs Cooling Sequence of M4,0,0
ARXIV:2501.10047,The role of dry mergers in shaping the scaling relations of galaxies,0,0
ARXIV:2501.10034,Constraining the Nuclear Equation of State of a Neutron Star via High-frequency Quasi-periodic Oscillation in Short Gamma-Ray Bursts,2,2
ARXIV:2501.10019,Microwave scattering by rough polyhedral particles on a surface,0,0
ARXIV:2501.09998,An In-depth Study of Gamma Rays from the Starburst Galaxy M82 with VERITAS,0,0
ARXIV:2501.09974,Unveiling the nature of the donor stars of the ultraluminous X-ray sources in NGC 1559,0,0
ARXIV:2501.09963,Unveiling the Interior Structure and Thermal Evolution of Super-Earth GJ 486b,2,2
ARXIV:2501.09953,"Early-type galaxy speciation: Elliptical (E) and ellicular (ES) galaxies in the Mbh-M⋆, sph diagram, and a merger-driven explanation for the origin of ES galaxies, anti-truncated stellar discs in lenticular (S0) galaxies, and the Sérsicification of E galaxy light profiles",1,1
ARXIV:2501.09901,Discovery and Multiwavelength Analysis of a New Dissociative Galaxy Cluster Merger: The Champagne Cluster,0,0
ARXIV:2501.10280,Evidence for the gravity-driven and magnetically-regularized gas flows feeding the massive protostellar cluster in Cep A,0,0
ARXIV:2501.09894,Intensity Interferometer Results on Sirius with 0.25 m Telescopes,2,2
ARXIV:2501.10295,No evidence that the binary black hole mass distribution evolves with redshift,6,6
ARXIV:2501.10352,I Zw 1 and H0557-385: The dusty tori of two high Eddington AGNs observed in the MATISSE LM-Bands,0,0
ARXIV:2501.10574,A Large Systematic Search for Close Supermassive Binary and Rapidly Recoiling Black Holes. IV. Ultraviolet Spectroscopy,2,2
ARXIV:2501.10571,Near-circular orbits for planets around M/K-type stars with Earth-like sizes and instellations,0,0
ARXIV:2501.10563,WALLABY Pilot Survey: kNN identification of perturbed galaxies through H 1 morphometrics,1,1
ARXIV:2501.10559,REBELS-IFU: Evidence for metal-rich massive galaxies at z~6-8,0,0
ARXIV:2501.10541,REBELS-IFU: Dust attenuation curves of 12 massive galaxies at $z\simeq7$,0,0
ARXIV:2501.10539,PAH Feature Ratios around Stellar Clusters and Associations in 19 Nearby Galaxies,1,1
ARXIV:2501.10528,A highly magnetized long-period radio transient exhibiting unusual emission features,9,9
ARXIV:2501.10512,The rapid formation of macromolecules in irradiated ice of protoplanetary disk dust traps,6,6
